text,intent,sentiment
Kindly assist me. I want to report rude behavior regarding router support in South Africa.,Complaint,Neutral
I would like clarification. I want to report lack of transparency regarding WiFi extender support in Canada.,Complaint,Neutral
This situation is frustrating. I was charged extra $50 for my fiber connection in Canada via customer support.,Billing,Negative
I am very disappointed. I would like information about data limits and international roaming for the family plan.,Product Inquiry,Negative
Could you help me? I would like information about pricing details and 5G access for the data pack.,Product Inquiry,Neutral
Glad this was resolved. I want to report lack of transparency regarding WiFi extender support in US.,Complaint,Positive
I need some information. I am experiencing router malfunction with my fiber connection in Germany.,Technical,Neutral
Glad this was resolved. I requested a refund of $50 for my mobile plan purchased in UK.,Refund,Positive
I need some information. I was charged extra $200 for my fiber connection in France via customer support.,Billing,Neutral
I would like clarification. I would like information about plan benefits and data rollover for the SIM card.,Product Inquiry,Neutral
This is unacceptable. I would like information about contract terms and cloud storage for the data pack.,Product Inquiry,Negative
Glad this was resolved. I want to report lack of transparency regarding data pack support in Germany.,Complaint,Positive
Thanks for the quick support. I was incorrectly billed $50 for my mobile plan in Singapore via live chat.,Billing,Positive
This is unacceptable. I want to report unhelpful support regarding SIM card support in UK.,Complaint,Negative
I would like clarification. I requested a refund of $40 for my family plan purchased in France.,Refund,Neutral
This situation is frustrating. I want to report unhelpful support regarding data pack support in Australia.,Complaint,Negative
This situation is frustrating. I want to report lack of transparency regarding fiber connection support in UK.,Complaint,Negative
I am satisfied with the service. I want to report lack of transparency regarding broadband support in Canada.,Complaint,Positive
Thank you for your assistance. I want to report rude behavior regarding WiFi extender support in US.,Complaint,Positive
I need some information. I was charged twice $200 for my WiFi extender in Singapore via email support.,Billing,Neutral
I am unhappy with the service. I would like information about pricing details and international roaming for the SIM card.,Product Inquiry,Negative
This is unacceptable. I am experiencing connection drops with my data pack in India.,Technical,Negative
Please provide details. I am experiencing unstable connection with my SIM card in France.,Technical,Neutral
Please provide details. I want to report rude behavior regarding router support in France.,Complaint,Neutral
Kindly assist me. I would like information about pricing details and premium support for the SIM card.,Product Inquiry,Neutral
Thank you for your assistance. I requested a refund of $10 for my router purchased in Singapore.,Refund,Positive
I need some information. I am experiencing unstable connection with my 5G service in India.,Technical,Neutral
Thank you for your assistance. I would like information about data limits and premium support for the SIM card.,Product Inquiry,Positive
I am extremely frustrated. I would like information about contract terms and 5G access for the WiFi extender.,Product Inquiry,Negative
This situation is frustrating. I requested a refund of $10 for my SIM card purchased in France.,Refund,Negative
I appreciate your help. I want to report long waiting time regarding family plan support in UAE.,Complaint,Positive
This is unacceptable. I requested a refund of $20 for my 5G service purchased in India.,Refund,Negative
Thank you for your assistance. I was given wrong invoice $20 for my WiFi extender in Australia via call center.,Billing,Positive
Kindly assist me. I want to report rude behavior regarding fiber connection support in Singapore.,Complaint,Neutral
Glad this was resolved. I would like information about data limits and 5G access for the international roaming.,Product Inquiry,Positive
Glad this was resolved. I requested a refund of $50 for my fiber connection purchased in Germany.,Refund,Positive
This is unacceptable. I was incorrectly billed $30 for my fiber connection in UAE via call center.,Billing,Negative
I would like clarification. I requested a refund of $20 for my broadband purchased in France.,Refund,Neutral
I am very disappointed. I am experiencing router malfunction with my mobile plan in Australia.,Technical,Negative
I am unhappy with the service. I would like information about plan benefits and unlimited calls for the international roaming.,Product Inquiry,Negative
Thanks for the quick support. I would like information about upgrade options and cloud storage for the mobile plan.,Product Inquiry,Positive
I would like clarification. I want to report poor service regarding data pack support in US.,Complaint,Neutral
This is unacceptable. I was overcharged $120 for my broadband in Germany via customer support.,Billing,Negative
I appreciate your help. I was incorrectly billed $100 for my SIM card in Singapore via mobile app.,Billing,Positive
I am unhappy with the service. I requested a refund of $200 for my router purchased in US.,Refund,Negative
Thanks for the quick support. I am experiencing connection drops with my fiber connection in Canada.,Technical,Positive
I am unhappy with the service. I am experiencing network outage with my broadband in India.,Technical,Negative
This situation is frustrating. I am experiencing DNS error with my broadband in Australia.,Technical,Negative
I need some information. I would like information about plan benefits and cloud storage for the mobile plan.,Product Inquiry,Neutral
Thanks for the quick support. I want to report unhelpful support regarding WiFi extender support in South Africa.,Complaint,Positive
Could you help me? I want to report unhelpful support regarding data pack support in France.,Complaint,Neutral
This is unacceptable. I requested a refund of $50 for my SIM card purchased in India.,Refund,Negative
I am very disappointed. I requested a refund of $75 for my router purchased in Singapore.,Refund,Negative
Could you help me? I requested a refund of $75 for my router purchased in Singapore.,Refund,Neutral
Glad this was resolved. I am experiencing router malfunction with my 5G service in France.,Technical,Positive
Thank you for your assistance. I requested a refund of $30 for my SIM card purchased in UAE.,Refund,Positive
Could you help me? I would like information about upgrade options and cloud storage for the international roaming.,Product Inquiry,Neutral
I am satisfied with the service. I would like information about pricing details and family sharing for the SIM card.,Product Inquiry,Positive
I am satisfied with the service. I was tax miscalculated $20 for my 5G service in Singapore via email support.,Billing,Positive
Please provide details. I want to report unhelpful support regarding mobile plan support in US.,Complaint,Neutral
Thank you for your assistance. I want to report lack of transparency regarding fiber connection support in South Africa.,Complaint,Positive
Thank you for your assistance. I want to report long waiting time regarding broadband support in Singapore.,Complaint,Positive
This is unacceptable. I want to report delayed response regarding router support in Australia.,Complaint,Negative
I am very disappointed. I would like information about device compatibility and unlimited calls for the data pack.,Product Inquiry,Negative
I am satisfied with the service. I was tax miscalculated $100 for my data pack in France via mobile app.,Billing,Positive
Could you help me? I want to report poor service regarding family plan support in Germany.,Complaint,Neutral
Could you help me? I requested a refund of $120 for my broadband purchased in Singapore.,Refund,Neutral
I need some information. I requested a refund of $40 for my family plan purchased in UAE.,Refund,Neutral
This situation is frustrating. I am experiencing slow internet with my broadband in Singapore.,Technical,Negative
This is unacceptable. I requested a refund of $10 for my fiber connection purchased in India.,Refund,Negative
Please provide details. I was overcharged $150 for my SIM card in India via live chat.,Billing,Neutral
I would like clarification. I want to report poor service regarding SIM card support in France.,Complaint,Neutral
Please provide details. I would like information about international coverage and 5G access for the data pack.,Product Inquiry,Neutral
I am very disappointed. I am experiencing packet loss issue with my SIM card in Germany.,Technical,Negative
Kindly assist me. I was incorrectly billed $30 for my fiber connection in US via service portal.,Billing,Neutral
I would like clarification. I want to report lack of transparency regarding mobile plan support in Canada.,Complaint,Neutral
Glad this was resolved. I am experiencing router malfunction with my router in Australia.,Technical,Positive
Thanks for the quick support. I requested a refund of $120 for my 5G service purchased in UK.,Refund,Positive
I am extremely frustrated. I would like information about plan benefits and international roaming for the fiber connection.,Product Inquiry,Negative
This is unacceptable. I want to report long waiting time regarding data pack support in Germany.,Complaint,Negative
I am unhappy with the service. I want to report rude behavior regarding broadband support in Germany.,Complaint,Negative
This situation is frustrating. I am experiencing packet loss issue with my router in UK.,Technical,Negative
This is unacceptable. I am experiencing connection drops with my router in Germany.,Technical,Negative
I need some information. I requested a refund of $120 for my fiber connection purchased in South Africa.,Refund,Neutral
I am unhappy with the service. I was charged extra $30 for my family plan in Singapore via live chat.,Billing,Negative
Glad this was resolved. I am experiencing router malfunction with my router in India.,Technical,Positive
Thanks for the quick support. I was charged extra $120 for my family plan in Singapore via customer support.,Billing,Positive
Thanks for the quick support. I requested a refund of $200 for my fiber connection purchased in India.,Refund,Positive
This situation is frustrating. I requested a refund of $120 for my broadband purchased in US.,Refund,Negative
I am unhappy with the service. I am experiencing slow internet with my WiFi extender in South Africa.,Technical,Negative
I am satisfied with the service. I was overcharged $50 for my WiFi extender in UAE via live chat.,Billing,Positive
Thank you for your assistance. I requested a refund of $10 for my family plan purchased in Singapore.,Refund,Positive
Could you help me? I requested a refund of $200 for my international roaming purchased in India.,Refund,Neutral
Could you help me? I want to report poor service regarding data pack support in Australia.,Complaint,Neutral
This is unacceptable. I want to report lack of transparency regarding fiber connection support in Canada.,Complaint,Negative
I am unhappy with the service. I am experiencing router malfunction with my SIM card in South Africa.,Technical,Negative
Thanks for the quick support. I want to report poor service regarding international roaming support in Singapore.,Complaint,Positive
Please provide details. I requested a refund of $150 for my international roaming purchased in Singapore.,Refund,Neutral
Please provide details. I am experiencing unstable connection with my router in UK.,Technical,Neutral
I am very disappointed. I want to report long waiting time regarding international roaming support in France.,Complaint,Negative
Could you help me? I am experiencing slow internet with my broadband in Germany.,Technical,Neutral
I am satisfied with the service. I was charged extra $150 for my WiFi extender in India via customer support.,Billing,Positive
I am very disappointed. I would like information about plan benefits and cloud storage for the data pack.,Product Inquiry,Negative
I would like clarification. I would like information about upgrade options and priority service for the broadband.,Product Inquiry,Neutral
I am very disappointed. I would like information about data limits and 5G access for the WiFi extender.,Product Inquiry,Negative
Please provide details. I want to report delayed response regarding family plan support in Singapore.,Complaint,Neutral
I need some information. I want to report poor service regarding 5G service support in UAE.,Complaint,Neutral
This is unacceptable. I was charged extra $50 for my fiber connection in US via call center.,Billing,Negative
This situation is frustrating. I was charged twice $40 for my mobile plan in UAE via mobile app.,Billing,Negative
Could you help me? I am experiencing router malfunction with my data pack in UK.,Technical,Neutral
Kindly assist me. I would like information about plan benefits and unlimited calls for the WiFi extender.,Product Inquiry,Neutral
I appreciate your help. I want to report rude behavior regarding broadband support in France.,Complaint,Positive
Thank you for your assistance. I would like information about upgrade options and premium support for the broadband.,Product Inquiry,Positive
I am satisfied with the service. I requested a refund of $20 for my WiFi extender purchased in France.,Refund,Positive
This is unacceptable. I was charged twice $150 for my broadband in South Africa via service portal.,Billing,Negative
Thanks for the quick support. I requested a refund of $200 for my broadband purchased in Singapore.,Refund,Positive
Thanks for the quick support. I was tax miscalculated $120 for my fiber connection in UAE via customer support.,Billing,Positive
Thanks for the quick support. I was given wrong invoice $40 for my broadband in South Africa via service portal.,Billing,Positive
Thank you for your assistance. I would like information about international coverage and priority service for the 5G service.,Product Inquiry,Positive
I am unhappy with the service. I want to report poor service regarding data pack support in India.,Complaint,Negative
I appreciate your help. I requested a refund of $30 for my mobile plan purchased in Canada.,Refund,Positive
Glad this was resolved. I requested a refund of $75 for my WiFi extender purchased in Canada.,Refund,Positive
Kindly assist me. I want to report rude behavior regarding router support in UK.,Complaint,Neutral
Kindly assist me. I requested a refund of $75 for my SIM card purchased in France.,Refund,Neutral
I am extremely frustrated. I requested a refund of $75 for my broadband purchased in UAE.,Refund,Negative
I would like clarification. I am experiencing router malfunction with my WiFi extender in US.,Technical,Neutral
I would like clarification. I am experiencing no signal with my mobile plan in Canada.,Technical,Neutral
Thank you for your assistance. I would like information about international coverage and unlimited calls for the international roaming.,Product Inquiry,Positive
I am extremely frustrated. I requested a refund of $40 for my data pack purchased in UK.,Refund,Negative
I need some information. I am experiencing unstable connection with my SIM card in Singapore.,Technical,Neutral
This is unacceptable. I requested a refund of $150 for my 5G service purchased in Canada.,Refund,Negative
Glad this was resolved. I want to report delayed response regarding data pack support in France.,Complaint,Positive
Glad this was resolved. I was tax miscalculated $200 for my data pack in France via email support.,Billing,Positive
Kindly assist me. I requested a refund of $100 for my international roaming purchased in South Africa.,Refund,Neutral
This is unacceptable. I requested a refund of $10 for my 5G service purchased in UAE.,Refund,Negative
Glad this was resolved. I was given wrong invoice $100 for my international roaming in UK via mobile app.,Billing,Positive
This is unacceptable. I want to report delayed response regarding family plan support in UK.,Complaint,Negative
I appreciate your help. I want to report rude behavior regarding family plan support in Australia.,Complaint,Positive
This is unacceptable. I was charged extra $10 for my family plan in UAE via email support.,Billing,Negative
Kindly assist me. I requested a refund of $10 for my router purchased in Canada.,Refund,Neutral
I am satisfied with the service. I requested a refund of $150 for my fiber connection purchased in US.,Refund,Positive
Could you help me? I would like information about upgrade options and priority service for the mobile plan.,Product Inquiry,Neutral
I am satisfied with the service. I would like information about data limits and data rollover for the broadband.,Product Inquiry,Positive
This is unacceptable. I want to report poor service regarding router support in UAE.,Complaint,Negative
Thank you for your assistance. I am experiencing slow internet with my broadband in France.,Technical,Positive
This is unacceptable. I would like information about international coverage and international roaming for the broadband.,Product Inquiry,Negative
I appreciate your help. I am experiencing packet loss issue with my data pack in US.,Technical,Positive
I appreciate your help. I would like information about contract terms and cloud storage for the family plan.,Product Inquiry,Positive
I am extremely frustrated. I want to report rude behavior regarding data pack support in Canada.,Complaint,Negative
I am extremely frustrated. I would like information about contract terms and family sharing for the mobile plan.,Product Inquiry,Negative
This situation is frustrating. I was incorrectly billed $75 for my fiber connection in Canada via email support.,Billing,Negative
Thanks for the quick support. I want to report poor service regarding data pack support in Singapore.,Complaint,Positive
I am extremely frustrated. I requested a refund of $100 for my mobile plan purchased in India.,Refund,Negative
I am unhappy with the service. I was charged extra $40 for my fiber connection in Australia via email support.,Billing,Negative
Thank you for your assistance. I am experiencing unstable connection with my broadband in South Africa.,Technical,Positive
I am satisfied with the service. I requested a refund of $200 for my router purchased in Canada.,Refund,Positive
Thanks for the quick support. I am experiencing slow internet with my mobile plan in Canada.,Technical,Positive
Kindly assist me. I requested a refund of $20 for my international roaming purchased in UAE.,Refund,Neutral
I need some information. I would like information about data limits and data rollover for the broadband.,Product Inquiry,Neutral
Glad this was resolved. I was overcharged $50 for my data pack in India via service portal.,Billing,Positive
Thanks for the quick support. I am experiencing unstable connection with my SIM card in UK.,Technical,Positive
I am unhappy with the service. I was overcharged $75 for my mobile plan in Australia via service portal.,Billing,Negative
Thank you for your assistance. I requested a refund of $100 for my 5G service purchased in India.,Refund,Positive
I appreciate your help. I am experiencing connection drops with my family plan in South Africa.,Technical,Positive
I am satisfied with the service. I want to report rude behavior regarding WiFi extender support in UAE.,Complaint,Positive
I am very disappointed. I want to report rude behavior regarding router support in Singapore.,Complaint,Negative
I would like clarification. I requested a refund of $120 for my broadband purchased in UAE.,Refund,Neutral
Thanks for the quick support. I want to report delayed response regarding broadband support in Singapore.,Complaint,Positive
I need some information. I was incorrectly billed $150 for my router in UAE via live chat.,Billing,Neutral
Please provide details. I want to report unhelpful support regarding broadband support in UK.,Complaint,Neutral
I would like clarification. I requested a refund of $40 for my family plan purchased in Australia.,Refund,Neutral
I am extremely frustrated. I am experiencing unstable connection with my data pack in Singapore.,Technical,Negative
I would like clarification. I requested a refund of $200 for my 5G service purchased in UAE.,Refund,Neutral
Could you help me? I want to report rude behavior regarding international roaming support in UAE.,Complaint,Neutral
I am unhappy with the service. I requested a refund of $30 for my 5G service purchased in UAE.,Refund,Negative
Thanks for the quick support. I was tax miscalculated $200 for my router in Canada via live chat.,Billing,Positive
Glad this was resolved. I would like information about international coverage and cloud storage for the router.,Product Inquiry,Positive
I am extremely frustrated. I would like information about upgrade options and priority service for the fiber connection.,Product Inquiry,Negative
This is unacceptable. I am experiencing no signal with my international roaming in France.,Technical,Negative
Thank you for your assistance. I was charged twice $75 for my family plan in US via customer support.,Billing,Positive
Please provide details. I want to report long waiting time regarding mobile plan support in Canada.,Complaint,Neutral
Glad this was resolved. I requested a refund of $20 for my international roaming purchased in South Africa.,Refund,Positive
I would like clarification. I am experiencing slow internet with my WiFi extender in Singapore.,Technical,Neutral
Could you help me? I was charged extra $30 for my data pack in India via service portal.,Billing,Neutral
This situation is frustrating. I want to report lack of transparency regarding international roaming support in South Africa.,Complaint,Negative
I am very disappointed. I was given wrong invoice $75 for my data pack in Canada via email support.,Billing,Negative
Thank you for your assistance. I want to report delayed response regarding SIM card support in Germany.,Complaint,Positive
Thank you for your assistance. I want to report lack of transparency regarding broadband support in South Africa.,Complaint,Positive
I need some information. I am experiencing slow internet with my broadband in South Africa.,Technical,Neutral
I am very disappointed. I was overcharged $30 for my international roaming in US via live chat.,Billing,Negative
I need some information. I requested a refund of $150 for my fiber connection purchased in Singapore.,Refund,Neutral
Thank you for your assistance. I requested a refund of $40 for my 5G service purchased in Canada.,Refund,Positive
I am very disappointed. I want to report rude behavior regarding 5G service support in UK.,Complaint,Negative
I am extremely frustrated. I want to report delayed response regarding broadband support in US.,Complaint,Negative
Please provide details. I was overcharged $100 for my data pack in India via call center.,Billing,Neutral
I am very disappointed. I want to report lack of transparency regarding SIM card support in South Africa.,Complaint,Negative
Glad this was resolved. I requested a refund of $50 for my mobile plan purchased in US.,Refund,Positive
Please provide details. I was overcharged $40 for my mobile plan in Germany via customer support.,Billing,Neutral
I am unhappy with the service. I requested a refund of $150 for my WiFi extender purchased in India.,Refund,Negative
I am extremely frustrated. I requested a refund of $30 for my family plan purchased in Canada.,Refund,Negative
I am extremely frustrated. I was given wrong invoice $100 for my router in India via customer support.,Billing,Negative
I am very disappointed. I am experiencing DNS error with my family plan in Australia.,Technical,Negative
I need some information. I was charged twice $100 for my router in UAE via email support.,Billing,Neutral
Glad this was resolved. I was tax miscalculated $20 for my fiber connection in US via email support.,Billing,Positive
Please provide details. I want to report delayed response regarding mobile plan support in South Africa.,Complaint,Neutral
I am unhappy with the service. I would like information about upgrade options and international roaming for the SIM card.,Product Inquiry,Negative
I would like clarification. I am experiencing DNS error with my data pack in India.,Technical,Neutral
Thanks for the quick support. I was incorrectly billed $30 for my international roaming in Canada via email support.,Billing,Positive
Glad this was resolved. I was tax miscalculated $30 for my fiber connection in UK via email support.,Billing,Positive
I am satisfied with the service. I am experiencing slow internet with my SIM card in UK.,Technical,Positive
I need some information. I would like information about data limits and international roaming for the 5G service.,Product Inquiry,Neutral
I would like clarification. I would like information about device compatibility and priority service for the broadband.,Product Inquiry,Neutral
I appreciate your help. I requested a refund of $20 for my international roaming purchased in UK.,Refund,Positive
I am satisfied with the service. I want to report poor service regarding router support in UAE.,Complaint,Positive
Thank you for your assistance. I want to report lack of transparency regarding 5G service support in Australia.,Complaint,Positive
I am extremely frustrated. I would like information about data limits and family sharing for the data pack.,Product Inquiry,Negative
I am extremely frustrated. I am experiencing router malfunction with my 5G service in US.,Technical,Negative
This situation is frustrating. I was given wrong invoice $200 for my broadband in India via customer support.,Billing,Negative
Please provide details. I requested a refund of $120 for my fiber connection purchased in India.,Refund,Neutral
Glad this was resolved. I would like information about pricing details and premium support for the router.,Product Inquiry,Positive
Could you help me? I want to report long waiting time regarding family plan support in Australia.,Complaint,Neutral
This situation is frustrating. I requested a refund of $100 for my international roaming purchased in US.,Refund,Negative
Could you help me? I want to report rude behavior regarding SIM card support in Canada.,Complaint,Neutral
This situation is frustrating. I would like information about device compatibility and priority service for the WiFi extender.,Product Inquiry,Negative
This situation is frustrating. I requested a refund of $120 for my SIM card purchased in Australia.,Refund,Negative
Glad this was resolved. I am experiencing slow internet with my family plan in Germany.,Technical,Positive
I am extremely frustrated. I want to report unhelpful support regarding family plan support in Australia.,Complaint,Negative
I am extremely frustrated. I want to report poor service regarding international roaming support in Canada.,Complaint,Negative
Kindly assist me. I was charged twice $50 for my 5G service in France via call center.,Billing,Neutral
I would like clarification. I would like information about upgrade options and 5G access for the data pack.,Product Inquiry,Neutral
Could you help me? I was given wrong invoice $75 for my international roaming in South Africa via call center.,Billing,Neutral
I am extremely frustrated. I am experiencing unstable connection with my data pack in Australia.,Technical,Negative
I am satisfied with the service. I am experiencing no signal with my broadband in UK.,Technical,Positive
I am unhappy with the service. I requested a refund of $30 for my family plan purchased in Singapore.,Refund,Negative
This is unacceptable. I want to report delayed response regarding 5G service support in UK.,Complaint,Negative
Please provide details. I requested a refund of $20 for my mobile plan purchased in US.,Refund,Neutral
Could you help me? I would like information about upgrade options and 5G access for the mobile plan.,Product Inquiry,Neutral
I need some information. I am experiencing router malfunction with my WiFi extender in Canada.,Technical,Neutral
Please provide details. I want to report delayed response regarding broadband support in Australia.,Complaint,Neutral
Glad this was resolved. I want to report poor service regarding international roaming support in UAE.,Complaint,Positive
I am extremely frustrated. I was tax miscalculated $100 for my 5G service in Germany via service portal.,Billing,Negative
I am extremely frustrated. I want to report poor service regarding data pack support in Germany.,Complaint,Negative
This is unacceptable. I want to report lack of transparency regarding international roaming support in South Africa.,Complaint,Negative
I need some information. I want to report poor service regarding router support in Australia.,Complaint,Neutral
Could you help me? I would like information about contract terms and cloud storage for the international roaming.,Product Inquiry,Neutral
Thank you for your assistance. I am experiencing router malfunction with my family plan in Canada.,Technical,Positive
I need some information. I want to report rude behavior regarding router support in India.,Complaint,Neutral
I am very disappointed. I was overcharged $10 for my fiber connection in Canada via email support.,Billing,Negative
I am very disappointed. I am experiencing DNS error with my broadband in India.,Technical,Negative
Thank you for your assistance. I would like information about data limits and unlimited calls for the router.,Product Inquiry,Positive
Please provide details. I am experiencing DNS error with my WiFi extender in India.,Technical,Neutral
I am extremely frustrated. I am experiencing network outage with my SIM card in India.,Technical,Negative
I appreciate your help. I was charged extra $50 for my SIM card in Canada via call center.,Billing,Positive
I am satisfied with the service. I want to report lack of transparency regarding data pack support in France.,Complaint,Positive
I appreciate your help. I requested a refund of $100 for my mobile plan purchased in UAE.,Refund,Positive
This situation is frustrating. I want to report long waiting time regarding family plan support in India.,Complaint,Negative
Please provide details. I was tax miscalculated $150 for my WiFi extender in India via customer support.,Billing,Neutral
Could you help me? I want to report rude behavior regarding data pack support in South Africa.,Complaint,Neutral
Could you help me? I want to report lack of transparency regarding mobile plan support in India.,Complaint,Neutral
Please provide details. I want to report poor service regarding mobile plan support in South Africa.,Complaint,Neutral
I would like clarification. I was charged twice $120 for my WiFi extender in Singapore via call center.,Billing,Neutral
I would like clarification. I would like information about upgrade options and priority service for the 5G service.,Product Inquiry,Neutral
I am very disappointed. I requested a refund of $75 for my SIM card purchased in Germany.,Refund,Negative
Could you help me? I was overcharged $50 for my family plan in US via call center.,Billing,Neutral
I would like clarification. I requested a refund of $120 for my international roaming purchased in India.,Refund,Neutral
Glad this was resolved. I would like information about pricing details and international roaming for the data pack.,Product Inquiry,Positive
Thank you for your assistance. I was tax miscalculated $10 for my broadband in Australia via customer support.,Billing,Positive
I am unhappy with the service. I want to report long waiting time regarding WiFi extender support in US.,Complaint,Negative
Glad this was resolved. I am experiencing slow internet with my fiber connection in Canada.,Technical,Positive
I would like clarification. I would like information about upgrade options and family sharing for the WiFi extender.,Product Inquiry,Neutral
Glad this was resolved. I am experiencing packet loss issue with my WiFi extender in Singapore.,Technical,Positive
I am unhappy with the service. I would like information about pricing details and unlimited calls for the mobile plan.,Product Inquiry,Negative
Please provide details. I was charged twice $10 for my WiFi extender in Singapore via customer support.,Billing,Neutral
I would like clarification. I am experiencing packet loss issue with my broadband in US.,Technical,Neutral
I would like clarification. I would like information about data limits and data rollover for the SIM card.,Product Inquiry,Neutral
I am extremely frustrated. I am experiencing network outage with my mobile plan in Germany.,Technical,Negative
I am very disappointed. I was incorrectly billed $30 for my WiFi extender in Germany via customer support.,Billing,Negative
I am unhappy with the service. I want to report poor service regarding 5G service support in UAE.,Complaint,Negative
I appreciate your help. I requested a refund of $10 for my broadband purchased in Germany.,Refund,Positive
I am extremely frustrated. I requested a refund of $200 for my fiber connection purchased in US.,Refund,Negative
Thank you for your assistance. I was overcharged $200 for my SIM card in India via mobile app.,Billing,Positive
This situation is frustrating. I would like information about upgrade options and data rollover for the fiber connection.,Product Inquiry,Negative
I am satisfied with the service. I want to report delayed response regarding 5G service support in UAE.,Complaint,Positive
Glad this was resolved. I would like information about device compatibility and data rollover for the SIM card.,Product Inquiry,Positive
I am unhappy with the service. I would like information about pricing details and 5G access for the 5G service.,Product Inquiry,Negative
Could you help me? I am experiencing connection drops with my SIM card in Canada.,Technical,Neutral
I am unhappy with the service. I requested a refund of $200 for my 5G service purchased in Canada.,Refund,Negative
I appreciate your help. I am experiencing router malfunction with my WiFi extender in Australia.,Technical,Positive
I am very disappointed. I requested a refund of $150 for my router purchased in UAE.,Refund,Negative
I would like clarification. I want to report rude behavior regarding fiber connection support in UK.,Complaint,Neutral
Thank you for your assistance. I want to report rude behavior regarding fiber connection support in UK.,Complaint,Positive
Glad this was resolved. I was given wrong invoice $50 for my mobile plan in South Africa via mobile app.,Billing,Positive
Glad this was resolved. I would like information about pricing details and cloud storage for the 5G service.,Product Inquiry,Positive
Could you help me? I was overcharged $10 for my data pack in UK via email support.,Billing,Neutral
Thanks for the quick support. I was tax miscalculated $10 for my WiFi extender in Germany via mobile app.,Billing,Positive
Thank you for your assistance. I am experiencing unstable connection with my family plan in Germany.,Technical,Positive
I am unhappy with the service. I am experiencing slow internet with my mobile plan in Germany.,Technical,Negative
Kindly assist me. I was tax miscalculated $150 for my broadband in UAE via customer support.,Billing,Neutral
Thank you for your assistance. I was given wrong invoice $75 for my international roaming in Australia via customer support.,Billing,Positive
This situation is frustrating. I would like information about device compatibility and family sharing for the 5G service.,Product Inquiry,Negative
I need some information. I want to report poor service regarding family plan support in South Africa.,Complaint,Neutral
I would like clarification. I would like information about data limits and cloud storage for the router.,Product Inquiry,Neutral
Please provide details. I would like information about contract terms and premium support for the WiFi extender.,Product Inquiry,Neutral
I am very disappointed. I want to report rude behavior regarding family plan support in Australia.,Complaint,Negative
I am satisfied with the service. I am experiencing unstable connection with my fiber connection in South Africa.,Technical,Positive
Could you help me? I requested a refund of $120 for my router purchased in India.,Refund,Neutral
I would like clarification. I am experiencing DNS error with my fiber connection in South Africa.,Technical,Neutral
Thank you for your assistance. I requested a refund of $20 for my SIM card purchased in South Africa.,Refund,Positive
